Probe_ID	beta
cg00000029_TC21	0.96060004280385536
cg00000109_TC21	0.95917912731292188
cg00000155_BC21	0.94728644171085818
cg00000158_BC21	0.97873656306592882
cg00000165_TC21	0.089654913366997338
cg00000221_BC21	0.45489437658131343
cg00000236_TC21	0.92339098274506159
cg00000292_BC21	0.67172375979505117
cg00000321_BC21	0.43885330482502055
cg00000363_TC21	0.58571046094268564
cg00000540_TC21	0.55916163986430167
cg00000579_TC21	0.89349626683800765
cg00000596_BC21	0.10845199284157657
cg00000622_BC11	0.012437885277043655
cg00000658_BC21	0.94318165855207736
cg00000714_BC21	0.12149849362464808
cg00000721_BC21	0.96048564067477316
cg00000765_TC21	0.97577998537565425
cg00000769_BC11	0.011288052144390156
cg00000776_TC21	0.273042662704995
cg00000884_BC21	0.89723983779168281
cg00000905_TC21	0.095481693352630126
cg00000948_TC21	0.54387893686772815
cg00000957_TC11	0.92004878970505544
cg00000974_BC21	0.050794592684825342
cg00001099_TC21	0.55355648341985619
cg00001103_BC21	0.49741155946352184
cg00001126_TC21	0.93614810791484715
cg00001136_TC21	0.56539476730094129
cg00001193_BC21	0.070287631142199186
cg00001224_BC21	0.12652659325087748
cg00001245_TC11	0.011600149235659264
cg00001249_TC21	0.53593900836716413
cg00001261_BC11	0.87269394418631485
cg00001269_TC21	0.06667253602985472
cg00001349_TC11	0.9353608112982752
cg00001364_TC21	0.9372457140863808
cg00001446_TC21	0.88761156729850854
cg00001476_TC21	0.43126647333417778
cg00001503_BC21	0.66427801109385509
cg00001506_TC21	0.94677482978987615
cg00001510_BC21	0.33162315237701018
cg00001520_BC21	0.26534038881613187
cg00001534_BC21	0.97416465668431751
cg00001582_TC21	0.053229202962903011
cg00001583_BC11	0.54005453536681525
cg00001594_TC11	0.025112889123285524
cg00001610_TC21	0.51470528529637827
cg00001636_BC21	0.25391885340465425
cg00001687_TC11	0.98604778702999807
cg00001747_TC11	0.093023820788858028
cg00001755_TC21	0.97563619371975341
cg00001784_BC21	0.94526170292522294
cg00001791_BC21	0.57871842372859217
cg00001793_TC11	0.96223472763692197
cg00001801_BC21	0.060682259879477167
cg00001809_TC21	0.23074466653351158
cg00001810_BC21	0.42836716976834782
cg00001814_BC21	0.11569193239771065
cg00001854_BC21	0.23460235973384977
cg00001874_BC21	0.10714236680144983
cg00001930_BC21	0.44661718093340907
cg00001997_BC21	0.95742495580860765
cg00002028_BC11	0.031541432211725937
cg00002033_TC11	0.91372624099870592
cg00002033_TC12	0.90676622186145317
cg00002080_TC21	0.22505009431446787
cg00002116_BC11	0.012174058611380814
cg00002145_TC21	0.3488119785324213
cg00002154_TC21	0.13538016218537186
cg00002176_TC21	0.21729575817658631
cg00002186_TC21	0.97400229499653901
cg00002190_TC21	0.7514966008031615
cg00002224_TC21	0.07884404252290636
cg00002236_BC21	0.076713038739644607
cg00002350_TC21	0.49244429531741479
cg00002366_TC21	0.35284380188397169
cg00002398_BC21	0.96042858490074101
cg00002406_TC21	0.034155042888086518
cg00002426_BC21	0.96105590501032001
cg00002426_BC22	0.94267114599849611
cg00002444_BC21	0.089088605320497019
cg00002449_TC21	0.45942249811425739
cg00002464_TC21	0.04614980794099445
cg00002473_TC21	0.79797832143638048
cg00002490_BC21	0.050618629052505741
cg00002531_BC21	0.96181322676853542
cg00002559_TC11	0.032796991973970846
cg00002591_TC21	0.89999179918793604
cg00002593_BC21	0.9396191234064063
cg00002597_TC21	0.87804283991677212
cg00002646_TC21	0.93265744992125121
cg00002660_BC21	0.060279173553531774
cg00002684_BC21	0.72827396139737344
cg00002719_BC11	0.015820579015215139
cg00002749_BC11	0.96729985655848405
cg00002769_BC11	0.63040074405791691
cg00002776_TC21	0.27765490031251311
cg00002780_TC21	0.81142437843600757
cg00002808_BC21	0.5386826763684246
cg00002809_BC11	0.8590398206356461
cg00002810_TC21	0.21208420333666317
cg00002837_BC11	0.89653419870823692
cg00002907_BC21	0.94050894991098088
cg00002926_BC21	0.94033333932622287
cg00002930_TC21	0.084868387689226596
cg00002934_BC11	0.028125093639451943
cg00002979_TC21	0.40472387426156203
cg00003009_TC21	0.14024455451394924
cg00003014_BC21	0.96956537721483282
cg00003036_BC21	0.087476238289537919
cg00003091_BC21	0.060568921744403495
cg00003167_TC21	0.94233873940022272
cg00003181_TC21	0.94874099096909115
cg00003202_TC11	0.0091409987056489794
cg00003241_BC21	0.36325540159883585
